name,boronum,X,Y,SEGMENT,AnnoAngle,AnnoLine1,AnnoLine2,AnnoLine3,Borough,OBJECTID,Stacked
HALESITE,,,,,,,,,,,
HAMBURG,,,,,,,,,,,
HAMILTON,,,,,,,,,,,
HAMILTON HEIGHTS,1,998174.70967,239342.44656,1,0,Hamilton,Heights,,MANHATTAN,106,2
HAMMOND,,,,,,,,,,,
HAMMONDSPORT,,,,,,,,,,,
HAMPTON BAYS,,,,,,,,,,,
HAMPTON MANOR,,,,,,,,,,,
HANCOCK,,,,,,,,,,,
HANNIBAL,,,,,,,,,,,
HARBOR HILLS,,,,,,,,,,,
HARBOR ISLE,,,,,,,,,,,
HARRIMAN,,,,,,,,,,,
HARRIS HILL,,,,,,,,,,,
HARRISON,,,,,,,,,,,
HARRISVILLE,,,,,,,,,,,
HARTSDALE,,,,,,,,,,,
HASTINGS-ON-HUDSON,,,,,,,,,,,
HAUPPAUGE,,,,,,,,,,,
HAVERSTRAW,,,,,,,,,,,
HAVILAND,,,,,,,,,,,
HAWTHORNE,,,,,,,,,,,
HEAD OF THE HARBOR,,,,,,,,,,,
HEARTLAND VILLAGE,5,940082.92723,153955.71314,1,0,Heartland,Village,,STATEN ISLAND,246,2
HEMPSTEAD,,,,,,,,,,,
